,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.91312927,0.68758214,144.0,1,0train,22,2,BNCI2014-001,csp+lda
1,0.95482993,0.6845418,144.0,1,1test,22,2,BNCI2014-001,csp+lda
2,0.65367347,0.6799042,144.0,2,0train,22,2,BNCI2014-001,csp+lda
3,0.64408165,0.71939933,144.0,2,1test,22,2,BNCI2014-001,csp+lda
4,0.9959184,0.67706627,144.0,3,0train,22,2,BNCI2014-001,csp+lda
5,0.99523807,0.71098864,144.0,3,1test,22,2,BNCI2014-001,csp+lda
6,0.792517,0.670572,144.0,4,0train,22,2,BNCI2014-001,csp+lda
7,0.8668027,0.6837614,144.0,4,1test,22,2,BNCI2014-001,csp+lda
8,0.55190474,0.7085078,144.0,5,0train,22,2,BNCI2014-001,csp+lda
9,0.6002721,0.6855762,144.0,5,1test,22,2,BNCI2014-001,csp+lda
10,0.75639457,0.6929536,144.0,6,0train,22,2,BNCI2014-001,csp+lda
11,0.7357823,0.7016356,144.0,6,1test,22,2,BNCI2014-001,csp+lda
12,0.84136057,0.6887996,144.0,7,0train,22,2,BNCI2014-001,csp+lda
13,0.97333336,0.69728976,144.0,7,1test,22,2,BNCI2014-001,csp+lda
14,1.0,0.6825416,144.0,8,0train,22,2,BNCI2014-001,csp+lda
15,1.0,0.69073,144.0,8,1test,22,2,BNCI2014-001,csp+lda
16,0.85918367,0.66970825,144.0,9,0train,22,2,BNCI2014-001,csp+lda
17,0.96258503,0.6855304,144.0,9,1test,22,2,BNCI2014-001,csp+lda
